-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 04/01/2024 
Location: Latitude  21.4835   Longitude 109.1152 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 14.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,WS2M,T2M,RH2M,PS,WS10M
2001,1,1,4.1,3.75,1.99,9.16,0.23,4.17,16.98,78.56,101.44,4.98
2001,1,2,3.01,1.7,2.07,7.89,0.2,3.66,19.02,85.0,101.34,4.47
2001,1,3,1.68,0.65,1.34,4.81,0.12,3.2,19.35,83.75,101.5,3.88
2001,1,4,3.04,1.5,2.19,6.95,0.16,4.05,18.37,81.19,101.65,4.81
2001,1,5,4.07,3.5,2.09,9.62,0.23,5.2,19.02,83.44,101.6,6.22
2001,1,6,2.97,1.7,2.05,8.34,0.21,4.02,19.91,85.62,101.39,4.91
2001,1,7,3.61,3.12,1.94,9.29,0.23,3.23,20.38,88.25,101.17,3.99
2001,1,8,4.02,3.66,2.05,9.84,0.23,3.77,20.89,85.12,101.03,4.7
2001,1,9,1.2,0.54,0.94,3.84,0.09,7.43,15.83,74.62,101.49,8.85
2001,1,10,1.51,0.61,1.18,4.74,0.12,4.97,12.94,74.56,101.54,5.75
2001,1,11,1.28,0.59,1.0,4.18,0.11,3.42,15.67,76.56,101.36,3.98
2001,1,12,1.71,0.67,1.35,4.7,0.12,3.63,18.73,84.38,101.37,4.34
2001,1,13,1.97,1.02,1.45,5.8,0.15,5.41,16.05,70.5,101.62,6.41
2001,1,14,2.6,1.21,1.95,6.95,0.18,4.99,17.39,66.88,101.81,5.9
2001,1,15,0.51,0.29,0.39,1.71,0.04,7.25,13.19,74.31,102.27,8.52
2001,1,16,1.18,0.53,0.91,3.84,0.1,4.69,14.24,76.38,102.27,5.52
2001,1,17,2.35,1.01,1.82,6.7,0.18,4.3,17.69,78.31,101.97,5.1
2001,1,18,3.04,2.2,1.8,8.36,0.23,4.57,19.14,84.12,101.67,5.51
2001,1,19,4.24,3.6,2.25,11.02,0.3,4.07,20.26,84.69,101.65,5.0
2001,1,20,4.53,4.66,1.83,11.37,0.3,1.99,20.87,82.19,101.55,2.54
2001,1,21,2.56,1.8,1.54,7.46,0.21,3.26,20.58,88.69,101.17,4.06
2001,1,22,2.58,1.31,1.89,7.72,0.21,3.06,21.2,88.0,100.96,3.86
2001,1,23,2.68,1.8,1.64,7.59,0.2,3.88,22.2,86.94,100.95,4.89
2001,1,24,2.51,1.31,1.72,7.48,0.2,4.09,22.5,87.19,100.73,5.09
2001,1,25,1.69,0.8,1.26,5.34,0.15,6.88,17.45,76.0,100.81,8.16
2001,1,26,1.55,0.61,1.22,5.11,0.14,7.74,13.06,65.0,101.44,9.11
2001,1,27,0.89,0.46,0.68,3.02,0.08,5.28,13.89,68.56,101.69,6.13
2001,1,28,2.87,1.38,2.04,7.57,0.2,7.2,13.4,64.81,101.98,8.45
2001,1,29,2.25,0.86,1.76,6.4,0.16,4.33,14.72,61.31,101.93,5.09
2001,1,30,0.88,0.41,0.68,2.66,0.06,2.7,16.65,73.25,101.62,3.22
2001,1,31,1.01,0.48,0.76,3.25,0.09,3.78,18.05,85.81,101.28,4.44
2001,2,1,0.8,0.38,0.61,2.8,0.07,6.19,16.43,79.06,101.32,7.26
2001,2,2,0.82,0.39,0.63,2.92,0.08,3.95,15.12,77.81,101.38,4.55
2001,2,3,1.0,0.45,0.77,3.51,0.1,3.39,16.1,79.06,101.31,3.92
2001,2,4,1.97,0.81,1.55,6.05,0.18,4.96,16.35,72.12,101.47,5.83
2001,2,5,2.25,0.83,1.78,6.77,0.19,2.62,18.26,86.12,101.2,3.16
2001,2,6,2.88,1.44,2.01,7.72,0.22,2.35,20.41,87.06,101.0,2.87
