-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 04/01/2024 
Location: Latitude  21.7707   Longitude 108.3563 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 201.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,WS2M,T2M,RH2M,PS,WS10M
2001,1,1,3.72,2.89,2.08,8.43,0.21,2.03,13.36,86.75,99.24,3.1
2001,1,2,1.84,0.84,1.43,5.33,0.14,2.2,16.67,89.94,99.13,3.3
2001,1,3,1.3,0.52,1.03,3.86,0.09,2.81,14.64,86.44,99.4,4.0
2001,1,4,2.32,1.24,1.62,5.53,0.13,2.57,13.4,85.88,99.53,3.55
2001,1,5,3.01,1.98,1.85,7.64,0.19,2.75,15.39,87.12,99.42,3.88
2001,1,6,2.33,1.72,1.47,6.61,0.17,2.84,18.0,90.38,99.18,4.12
2001,1,7,3.19,2.26,1.92,8.32,0.2,2.53,18.89,88.19,98.96,3.78
2001,1,8,3.81,3.6,1.93,9.29,0.22,2.59,19.59,88.12,98.81,3.85
2001,1,9,1.32,0.54,1.04,3.96,0.1,5.92,12.05,71.5,99.44,8.13
2001,1,10,1.36,0.55,1.07,4.2,0.11,3.48,10.62,71.12,99.37,4.67
2001,1,11,1.77,0.92,1.31,5.09,0.13,2.15,12.51,74.81,99.19,2.97
2001,1,12,1.04,0.46,0.82,3.02,0.08,1.95,15.86,82.88,99.24,2.77
2001,1,13,1.78,0.88,1.35,5.21,0.13,4.03,12.48,70.81,99.51,5.62
2001,1,14,2.14,0.91,1.62,5.87,0.16,3.55,13.46,66.69,99.67,4.91
2001,1,15,0.51,0.28,0.38,1.65,0.04,4.82,8.73,79.5,100.14,6.52
2001,1,16,0.68,0.37,0.5,2.19,0.06,2.7,9.37,83.75,100.11,3.7
2001,1,17,1.42,0.55,1.13,4.39,0.12,1.62,13.65,85.31,99.79,2.37
2001,1,18,1.63,0.75,1.21,5.02,0.14,2.55,17.02,89.5,99.45,3.76
2001,1,19,3.33,2.55,1.86,9.02,0.25,2.16,18.48,86.62,99.46,3.19
2001,1,20,3.99,3.02,2.2,10.22,0.27,1.44,18.61,81.5,99.39,2.09
2001,1,21,3.57,2.55,2.07,9.51,0.26,2.59,19.5,86.19,98.95,3.6
2001,1,22,2.51,1.27,1.79,7.27,0.2,3.02,20.75,88.38,98.73,4.3
2001,1,23,2.77,1.68,1.83,7.7,0.21,2.8,21.23,87.31,98.76,4.03
2001,1,24,2.49,1.58,1.58,7.22,0.2,2.62,20.92,93.12,98.54,3.77
2001,1,25,0.88,0.4,0.68,2.99,0.08,4.88,15.05,75.38,98.71,6.6
2001,1,26,1.48,0.6,1.17,4.64,0.12,5.82,9.94,61.19,99.34,7.86
2001,1,27,0.65,0.33,0.5,2.26,0.06,3.49,11.07,65.88,99.51,4.66
2001,1,28,2.43,1.14,1.75,6.46,0.17,5.23,9.9,59.44,99.86,7.09
2001,1,29,2.5,1.54,1.65,6.55,0.16,2.84,11.28,61.69,99.76,3.96
2001,1,30,0.85,0.41,0.66,2.55,0.06,1.27,13.33,72.88,99.41,1.95
2001,1,31,1.05,0.47,0.81,3.29,0.09,2.12,15.26,84.56,99.15,2.95
2001,2,1,0.99,0.46,0.76,3.19,0.09,4.27,13.35,77.56,99.22,5.72
2001,2,2,0.86,0.42,0.65,2.86,0.08,3.0,11.48,75.0,99.23,4.09
2001,2,3,1.19,0.52,0.93,3.82,0.11,2.46,12.3,79.12,99.16,3.3
2001,2,4,1.95,0.79,1.53,5.74,0.17,3.23,12.49,70.81,99.33,4.45
2001,2,5,2.66,1.27,1.91,7.22,0.2,2.07,14.91,85.88,98.99,2.97
2001,2,6,1.59,0.75,1.21,4.69,0.13,2.55,18.76,88.31,98.77,3.73
2001,2,7,2.05,0.84,1.58,5.59,0.16,5.45,14.41,70.75,99.33,7.34
2001,2,8,1.38,0.58,1.08,4.08,0.12,4.24,10.55,73.56,99.58,5.62
2001,2,9,0.99,0.47,0.76,3.09,0.09,4.4,10.52,82.19,99.72,5.89
2001,2,10,1.61,0.66,1.25,4.98,0.13,3.34,11.08,74.62,99.63,4.55
2001,2,11,2.14,0.88,1.63,6.26,0.17,1.38,13.55,80.88,99.37,1.98
2001,2,12,3.88,2.38,2.34,9.73,0.26,2.02,16.59,82.44,99.36,2.84
2001,2,13,1.34,0.65,1.02,4.5,0.13,6.48,11.73,67.5,99.81,8.71
2001,2,14,5.38,5.29,1.97,12.75,0.35,4.24,10.76,61.75,100.01,5.82
2001,2,15,3.37,1.59,2.34,8.48,0.24,2.43,12.51,65.56,99.94,3.55
2001,2,16,4.22,2.81,2.3,9.81,0.27,2.27,14.55,57.5,99.93,3.2
