-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 04/01/2024 
Location: Latitude  25.2812   Longitude 110.2953 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 552.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,WS2M,T2M,RH2M,PS,WS10M
2001,1,1,3.1,2.81,1.65,6.8,0.15,1.41,8.05,82.81,95.33,2.23
2001,1,2,0.68,0.35,0.52,1.88,0.05,1.28,9.45,91.94,95.34,2.05
2001,1,3,0.81,0.4,0.63,2.31,0.05,1.62,8.35,87.38,95.61,2.43
2001,1,4,0.59,0.33,0.45,1.59,0.03,1.02,7.81,90.94,95.67,1.59
2001,1,5,0.66,0.35,0.5,1.85,0.04,1.3,8.67,93.56,95.57,2.02
2001,1,6,0.7,0.38,0.55,1.9,0.04,1.88,12.09,95.0,95.27,2.95
2001,1,7,0.88,0.42,0.69,2.4,0.05,1.85,11.76,93.19,95.06,2.91
2001,1,8,1.59,0.71,1.24,4.01,0.09,3.84,13.87,87.75,94.99,5.55
2001,1,9,1.1,0.54,0.86,2.97,0.07,4.2,4.3,72.44,95.8,5.99
2001,1,10,0.75,0.37,0.58,2.16,0.05,1.24,5.77,79.75,95.4,1.77
2001,1,11,3.19,2.69,1.63,7.32,0.16,1.09,8.05,80.12,95.2,1.65
2001,1,12,0.53,0.3,0.39,1.47,0.03,1.87,8.98,85.38,95.45,2.74
2001,1,13,4.11,4.85,1.49,8.56,0.18,2.04,6.35,77.44,95.68,3.2
2001,1,14,1.32,0.56,1.04,3.16,0.06,2.7,5.13,74.12,96.02,4.05
2001,1,15,0.91,0.4,0.72,2.46,0.05,2.26,3.64,76.69,96.29,3.34
