-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 04/01/2024 
Location: Latitude  24.403   Longitude 111.5667 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 518.54 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,WS2M,T2M,RH2M,PS,WS10M
2001,1,1,3.89,4.26,1.59,8.18,0.18,1.78,9.58,76.75,95.73,2.62
2001,1,2,0.78,0.42,0.6,2.16,0.05,1.29,12.06,84.75,95.71,2.01
2001,1,3,0.7,0.37,0.55,1.94,0.05,2.7,8.93,87.31,95.92,3.85
2001,1,4,0.61,0.35,0.48,1.66,0.04,1.35,10.09,87.94,96.0,2.08
2001,1,5,1.39,0.6,1.1,3.47,0.09,1.27,11.73,89.5,95.95,2.03
2001,1,6,1.31,0.55,1.06,3.48,0.08,1.79,14.51,84.31,95.71,2.78
2001,1,7,1.37,0.62,1.09,3.62,0.08,1.47,14.49,88.75,95.51,2.36
2001,1,8,2.61,1.62,1.82,6.23,0.14,2.74,16.02,81.56,95.41,4.12
2001,1,9,0.55,0.32,0.42,1.59,0.04,5.73,3.94,75.44,95.98,8.17
2001,1,10,0.86,0.41,0.68,2.43,0.05,2.15,5.15,84.19,95.7,3.07
2001,1,11,2.2,0.87,1.74,5.55,0.13,1.25,8.84,83.31,95.56,1.86
2001,1,12,0.63,0.34,0.48,1.85,0.05,1.84,9.55,91.38,95.76,2.8
2001,1,13,4.13,4.7,1.52,8.9,0.2,3.61,6.95,76.56,95.92,5.2
2001,1,14,3.23,2.82,1.68,6.98,0.15,3.45,6.04,72.31,96.27,4.95
2001,1,15,0.73,0.36,0.57,1.89,0.04,2.94,4.94,73.62,96.55,4.23
2001,1,16,1.94,0.86,1.47,4.77,0.1,1.31,7.05,73.62,96.47,1.95
2001,1,17,1.73,0.76,1.35,4.5,0.11,1.14,9.98,82.69,96.25,1.89
2001,1,18,1.11,0.53,0.85,3.14,0.08,1.38,12.56,88.31,96.01,2.3
2001,1,19,2.31,0.96,1.77,5.7,0.15,1.56,15.51,84.38,95.99,2.44
2001,1,20,1.84,0.83,1.42,4.73,0.12,2.18,12.61,81.88,95.94,3.27
2001,1,21,3.02,1.69,2.07,7.33,0.2,2.33,15.73,83.38,95.5,3.56
2001,1,22,1.26,0.64,0.95,3.45,0.09,2.28,17.08,87.75,95.3,3.3
2001,1,23,1.21,0.53,0.95,3.45,0.09,1.94,18.22,87.81,95.34,2.91
2001,1,24,0.88,0.4,0.69,2.62,0.07,2.42,14.02,88.75,95.28,3.48
2001,1,25,0.62,0.36,0.47,1.79,0.05,5.57,3.73,80.88,95.3,7.86
2001,1,26,2.5,1.25,1.79,5.81,0.14,5.75,1.89,73.94,95.71,8.16
2001,1,27,0.95,0.43,0.74,2.73,0.07,3.2,4.35,75.31,95.96,4.46
2001,1,28,3.82,3.56,1.81,7.84,0.18,4.2,3.63,77.62,96.2,6.03
2001,1,29,4.38,4.58,1.74,9.03,0.2,1.93,5.75,72.75,96.1,2.91
2001,1,30,0.85,0.4,0.66,2.14,0.05,1.15,9.52,71.31,95.82,1.79
2001,1,31,0.47,0.29,0.35,1.3,0.03,1.21,11.03,85.25,95.65,1.81
2001,2,1,0.7,0.35,0.54,1.98,0.05,3.72,7.02,81.12,95.69,5.23
2001,2,2,0.64,0.32,0.49,1.8,0.04,1.86,6.19,78.56,95.66,2.65
2001,2,3,0.78,0.37,0.59,2.45,0.07,1.33,8.29,89.12,95.61,1.94
2001,2,4,2.17,0.91,1.69,5.76,0.16,2.29,8.25,80.88,95.71,3.31
2001,2,5,1.25,0.54,0.99,3.66,0.11,1.88,11.15,89.94,95.49,2.8
2001,2,6,0.76,0.41,0.57,2.2,0.06,2.59,14.39,88.0,95.38,3.8
2001,2,7,1.37,0.55,1.07,3.73,0.11,5.32,5.46,79.5,95.9,7.43
2001,2,8,2.51,1.04,1.88,5.95,0.16,3.43,6.65,79.94,96.01,4.74
2001,2,9,0.39,0.25,0.28,1.12,0.03,3.41,6.01,81.5,96.12,4.68
2001,2,10,2.24,0.84,1.74,5.84,0.16,2.4,7.88,82.25,95.95,3.36
2001,2,11,1.96,0.73,1.54,5.29,0.14,1.23,11.08,87.12,95.85,1.82
2001,2,12,1.94,0.96,1.38,5.12,0.13,3.34,9.48,83.81,95.94,4.73
2001,2,13,1.1,0.64,0.8,3.29,0.09,6.02,3.97,77.31,96.24,8.41
2001,2,14,5.51,6.69,1.37,12.1,0.31,3.54,5.33,71.75,96.33,5.16
2001,2,15,4.64,4.39,1.97,10.28,0.26,1.72,7.42,69.44,96.33,2.84
2001,2,16,4.56,4.06,1.88,10.04,0.26,1.89,10.22,65.12,96.36,2.87
2001,2,17,5.09,5.21,1.75,11.05,0.27,1.95,12.66,76.62,96.05,3.09
2001,2,18,2.76,1.05,2.13,6.71,0.17,1.48,15.43,81.19,95.78,2.27
2001,2,19,2.02,0.77,1.56,5.03,0.13,1.11,17.09,79.69,95.73,1.57
2001,2,20,3.97,2.84,2.16,8.84,0.23,1.81,17.69,76.06,95.6,2.7
2001,2,21,4.19,2.78,2.41,9.45,0.24,1.37,17.93,68.5,95.47,1.96
2001,2,22,2.03,0.73,1.58,4.93,0.12,2.18,19.01,83.31,95.31,3.39
2001,2,23,2.27,0.95,1.72,5.82,0.16,2.41,19.62,82.62,95.22,3.59
2001,2,24,0.98,0.43,0.74,2.3,0.05,6.46,9.81,74.75,95.73,9.02
2001,2,25,0.72,0.34,0.55,1.95,0.05,4.37,4.72,83.0,96.0,6.02
2001,2,26,0.83,0.37,0.63,2.48,0.07,1.93,7.57,88.0,95.96,2.7
2001,2,27,1.18,0.48,0.91,3.52,0.09,2.11,10.3,88.94,96.05,2.97
2001,2,28,2.89,1.44,1.98,7.33,0.2,3.57,9.18,78.81,96.09,4.98
2001,3,1,5.78,6.19,1.66,12.47,0.3,2.38,10.68,68.62,96.05,3.55
2001,3,2,3.79,2.82,1.95,8.7,0.22,1.95,13.75,71.25,95.93,2.89
2001,3,3,1.14,0.46,0.88,2.92,0.08,2.77,13.01,76.88,96.13,4.03
2001,3,4,6.05,6.8,1.54,12.93,0.33,2.07,12.4,51.56,96.11,3.11
2001,3,5,3.63,2.37,2.13,8.34,0.21,2.48,15.01,64.06,95.68,3.8
2001,3,6,1.49,0.56,1.15,3.74,0.1,2.27,17.58,87.69,95.58,3.42
2001,3,7,0.92,0.39,0.7,2.61,0.07,4.16,13.11,80.44,95.88,5.74
2001,3,8,2.62,1.03,1.94,6.36,0.17,4.41,9.33,72.5,96.34,6.23
2001,3,9,2.05,0.73,1.58,4.87,0.13,1.39,11.37,71.19,96.19,2.08
2001,3,10,0.88,0.4,0.65,2.54,0.06,0.69,12.59,87.44,95.99,0.99
2001,3,11,0.68,0.34,0.5,2.1,0.05,2.28,12.51,87.56,96.05,3.21
2001,3,12,5.04,2.84,2.99,11.52,0.29,2.94,13.58,68.44,96.06,4.13
2001,3,13,3.81,1.41,2.83,9.59,0.26,2.4,15.07,70.12,95.83,3.56
2001,3,14,1.03,0.42,0.79,3.25,0.09,2.83,17.8,87.5,95.75,3.98
2001,3,15,1.76,0.65,1.36,5.2,0.15,2.45,19.51,86.81,95.57,3.47
2001,3,16,1.46,0.58,1.12,4.27,0.12,2.9,20.46,86.44,95.18,4.1
2001,3,17,1.21,0.47,0.93,3.61,0.11,3.42,13.8,80.81,95.42,4.6
2001,3,18,3.45,1.46,2.44,8.68,0.25,1.88,16.39,80.56,95.6,2.61
2001,3,19,0.86,0.38,0.65,2.63,0.08,1.45,18.58,91.31,95.51,2.09
2001,3,20,3.07,1.34,2.2,7.44,0.21,2.4,15.16,85.31,95.44,3.48
2001,3,21,6.56,6.94,1.7,14.7,0.41,1.6,16.77,68.06,95.21,2.46
2001,3,22,1.8,0.64,1.39,4.66,0.13,2.53,20.0,82.69,94.98,3.87
2001,3,23,2.3,0.86,1.72,6.14,0.18,2.81,22.37,85.75,94.9,4.12
2001,3,24,2.34,0.84,1.77,5.91,0.17,3.23,21.84,85.62,94.85,4.55
2001,3,25,2.29,0.88,1.71,5.72,0.16,4.15,14.25,80.81,95.06,5.78
2001,3,26,2.41,0.88,1.82,5.59,0.15,1.69,15.29,75.31,95.0,2.34
2001,3,27,2.88,1.22,2.04,7.37,0.19,1.34,16.36,80.62,94.97,2.05
2001,3,28,4.4,2.74,2.43,10.31,0.27,2.8,15.26,76.56,95.3,4.03
2001,3,29,6.74,7.13,1.59,15.45,0.36,3.06,13.11,66.06,95.53,4.27
2001,3,30,5.47,4.11,2.45,12.41,0.3,1.73,16.35,68.5,95.5,2.54
2001,3,31,1.15,0.47,0.86,3.16,0.09,1.3,17.15,86.62,95.77,1.94
2001,4,1,0.97,0.42,0.73,2.69,0.07,2.3,17.19,88.06,95.66,3.27
2001,4,2,1.39,0.54,1.06,4.07,0.11,3.04,19.66,87.81,95.2,4.36
2001,4,3,1.49,0.58,1.14,4.23,0.11,2.44,19.6,86.69,95.12,3.44
2001,4,4,1.28,0.51,0.98,3.27,0.08,2.51,17.21,85.38,95.37,3.53
2001,4,5,2.56,0.9,1.96,6.81,0.18,0.98,18.76,82.69,95.44,1.47
2001,4,6,1.75,0.65,1.34,4.81,0.12,0.81,20.25,86.19,95.44,1.23
2001,4,7,2.13,0.76,1.63,5.48,0.15,2.07,20.79,87.19,95.21,2.95
2001,4,8,3.46,1.25,2.58,8.03,0.23,2.77,23.25,84.69,94.69,3.92
2001,4,9,2.33,0.84,1.76,4.77,0.12,2.27,23.01,84.5,95.0,3.23
2001,4,10,1.33,0.53,1.01,3.12,0.09,5.13,15.74,82.75,95.54,7.25
2001,4,11,2.21,0.81,1.68,4.9,0.13,6.76,8.83,69.75,96.01,9.4
2001,4,12,6.18,4.3,2.86,13.02,0.35,2.52,12.27,61.0,95.77,3.65
2001,4,13,5.59,3.36,3.03,11.79,0.32,1.47,15.95,65.69,95.65,2.17
2001,4,14,2.46,0.88,1.84,5.83,0.16,1.27,17.9,75.31,95.96,1.91
2001,4,15,0.99,0.41,0.75,2.79,0.08,0.97,17.65,85.06,95.81,1.57
2001,4,16,1.31,0.53,0.97,4.05,0.12,1.28,19.08,87.88,95.43,1.87
2001,4,17,1.5,0.56,1.13,4.45,0.12,1.28,20.8,86.31,95.12,1.95
2001,4,18,1.26,0.49,0.95,3.67,0.1,2.19,22.95,87.38,94.83,3.24
2001,4,19,2.53,0.91,1.88,7.26,0.2,3.91,23.92,89.06,94.69,5.54
2001,4,20,3.03,1.12,2.22,7.62,0.22,3.16,24.47,88.44,94.51,4.52
2001,4,21,1.91,0.66,1.45,5.05,0.14,4.88,16.23,80.56,94.94,6.77
2001,4,22,1.52,0.59,1.13,4.09,0.11,3.2,13.9,84.81,95.37,4.42
2001,4,23,1.25,0.48,0.94,3.62,0.09,0.91,17.49,91.31,95.37,1.45
2001,4,24,1.27,0.48,0.95,3.74,0.1,3.15,16.46,86.44,95.54,4.38
2001,4,25,1.53,0.57,1.14,4.3,0.11,2.41,15.29,86.44,95.6,3.47
2001,4,26,2.79,0.91,2.14,7.68,0.2,1.56,19.0,86.94,95.53,2.3
2001,4,27,1.67,0.58,1.26,4.65,0.12,3.77,21.64,87.69,95.19,5.38
2001,4,28,1.95,0.66,1.48,5.73,0.16,3.68,23.58,87.0,94.95,5.24
2001,4,29,4.74,2.29,2.96,12.17,0.34,2.67,24.21,86.44,95.02,3.96
2001,4,30,2.43,0.87,1.77,6.15,0.17,1.95,22.51,86.38,95.33,2.85
2001,5,1,2.36,0.77,1.77,6.35,0.18,2.67,18.24,83.69,95.4,3.84
2001,5,2,3.91,1.26,2.94,9.84,0.27,1.08,18.67,83.88,95.18,1.66
2001,5,3,3.53,1.13,2.68,9.34,0.25,1.09,21.3,89.44,95.23,1.71
2001,5,4,1.42,0.51,1.07,4.58,0.13,2.48,22.05,91.56,95.3,3.64
2001,5,5,2.06,0.72,1.54,6.38,0.19,2.51,23.63,90.31,95.1,3.67
2001,5,6,3.31,1.66,2.2,9.31,0.26,2.4,24.68,88.94,94.91,3.62
2001,5,7,3.66,1.64,2.47,10.0,0.28,2.27,23.99,90.69,94.82,3.35
2001,5,8,1.58,0.54,1.2,4.88,0.13,2.91,19.82,87.25,94.82,4.19
2001,5,9,1.33,0.46,1.0,3.95,0.11,2.99,19.03,89.12,94.91,4.31
2001,5,10,5.8,3.58,3.0,14.2,0.38,3.17,17.24,82.38,95.3,4.66
2001,5,11,6.35,4.52,2.88,15.84,0.42,1.88,19.84,80.12,95.32,2.94
2001,5,12,6.87,4.97,2.98,17.04,0.45,1.99,21.31,81.19,95.15,3.1
2001,5,13,6.89,5.48,2.63,16.81,0.44,0.91,23.37,70.88,94.96,1.47
2001,5,14,5.69,3.2,3.3,13.88,0.38,0.62,24.93,70.56,95.09,0.98
2001,5,15,2.79,1.11,2.02,7.11,0.2,2.2,22.58,82.06,95.44,3.34
2001,5,16,2.27,0.72,1.7,6.75,0.2,1.93,21.9,85.0,95.47,2.8
2001,5,17,0.89,0.36,0.63,3.03,0.08,1.96,22.33,91.88,95.24,2.91
2001,5,18,2.29,0.75,1.72,6.98,0.2,2.01,22.04,90.56,94.84,3.05
2001,5,19,4.3,1.64,3.03,10.97,0.3,1.48,23.45,82.81,94.74,2.2
2001,5,20,4.7,2.03,3.19,11.9,0.34,1.16,25.1,78.88,94.61,1.69
2001,5,21,1.99,0.71,1.48,5.8,0.16,0.89,24.8,82.88,94.47,1.34
2001,5,22,6.45,4.37,3.02,15.62,0.41,1.8,24.93,79.81,94.5,2.73
2001,5,23,6.83,5.08,2.82,15.99,0.39,1.14,25.4,73.31,94.63,1.82
2001,5,24,6.45,4.73,2.66,15.98,0.42,1.35,25.4,83.19,94.65,2.11
2001,5,25,2.75,0.88,2.06,8.24,0.23,1.34,24.14,85.94,94.8,2.06
2001,5,26,4.41,2.0,2.82,12.06,0.34,1.38,24.41,84.12,95.04,2.16
2001,5,27,4.13,1.36,3.05,10.62,0.29,2.65,22.22,85.5,95.09,3.86
2001,5,28,1.8,0.59,1.37,4.95,0.12,1.72,22.12,83.94,94.93,2.52
2001,5,29,1.4,0.47,1.06,4.3,0.12,1.3,22.48,87.69,94.74,1.97
2001,5,30,6.38,4.89,2.59,16.12,0.45,2.67,21.27,81.56,94.86,4.02
2001,5,31,5.26,2.35,3.51,13.51,0.38,2.2,21.46,81.0,95.12,3.37
2001,6,1,1.21,0.47,0.89,3.8,0.11,1.37,21.34,86.62,95.29,2.11
2001,6,2,1.62,0.58,1.19,5.2,0.15,1.71,21.01,90.38,95.25,2.5
2001,6,3,1.19,0.45,0.89,3.84,0.1,1.59,22.94,94.62,95.07,2.38
2001,6,4,1.83,0.65,1.37,5.5,0.15,1.12,21.67,90.75,94.78,1.72
2001,6,5,6.92,5.74,2.46,17.25,0.47,0.95,23.14,80.31,94.74,1.48
2001,6,6,3.52,1.54,2.36,9.65,0.27,1.04,23.51,86.06,94.78,1.59
2001,6,7,1.92,0.64,1.43,5.89,0.18,2.41,23.13,94.0,94.69,3.66
2001,6,8,1.58,0.55,1.16,4.85,0.14,2.91,24.03,93.06,94.6,4.32
2001,6,9,1.95,0.66,1.46,6.11,0.18,2.12,23.8,94.94,94.63,3.22
2001,6,10,3.32,1.06,2.45,9.22,0.28,1.94,23.84,94.81,94.65,2.97
2001,6,11,2.11,0.74,1.55,6.53,0.2,1.79,23.7,95.38,94.68,2.76
2001,6,12,2.68,0.91,2.0,7.99,0.23,1.8,24.84,90.75,94.62,2.7
2001,6,13,2.03,0.74,1.53,6.02,0.16,1.87,20.84,92.69,94.47,2.91
2001,6,14,7.08,5.65,2.48,16.9,0.44,1.02,22.9,78.81,94.58,1.7
2001,6,15,7.22,5.85,2.53,17.02,0.45,1.32,23.62,82.75,94.66,2.15
2001,6,16,4.98,2.59,2.91,13.27,0.38,1.77,24.58,88.88,94.64,2.77
2001,6,17,5.95,4.12,2.79,15.18,0.43,2.05,24.94,87.38,94.76,3.19
2001,6,18,4.8,1.92,3.39,12.87,0.37,2.06,25.3,88.5,94.59,3.18
2001,6,19,4.54,1.52,3.39,12.33,0.35,1.58,25.3,91.5,94.33,2.48
2001,6,20,4.91,1.61,3.63,13.35,0.39,1.04,25.83,87.94,94.38,1.59
2001,6,21,5.45,3.0,3.15,14.48,0.42,1.09,26.08,88.19,94.54,1.66
2001,6,22,4.27,1.66,2.98,11.92,0.36,1.27,25.05,87.38,94.67,1.88
2001,6,23,5.24,2.61,3.23,13.77,0.4,1.78,25.05,84.81,94.59,2.68
2001,6,24,4.59,1.91,3.13,12.12,0.36,1.13,26.12,85.06,94.67,1.72
2001,6,25,3.44,1.12,2.59,9.87,0.3,1.26,24.73,90.25,94.65,1.91
2001,6,26,2.7,0.93,2.03,8.02,0.23,2.14,24.8,89.62,94.5,3.2
2001,6,27,3.04,1.05,2.24,9.05,0.27,3.27,25.02,89.62,94.66,4.8
2001,6,28,3.47,1.34,2.51,10.15,0.3,3.01,25.19,89.5,94.82,4.44
2001,6,29,5.52,3.46,3.17,15.1,0.44,1.84,25.5,87.06,94.91,2.8
2001,6,30,6.36,4.72,2.87,16.8,0.48,1.38,25.62,86.5,94.8,2.16
2001,7,1,4.69,1.6,3.5,12.99,0.38,2.48,25.01,88.44,94.64,3.8
2001,7,2,1.35,0.49,1.0,4.48,0.13,4.97,23.62,92.12,94.55,7.39
2001,7,3,3.29,1.3,2.32,9.62,0.29,2.63,24.63,88.88,94.74,3.99
2001,7,4,7.32,7.12,2.05,18.95,0.53,1.27,26.27,80.44,94.44,2.0
2001,7,5,5.63,4.25,2.53,14.92,0.43,3.78,26.66,82.88,93.78,5.72
2001,7,6,2.01,0.72,1.5,6.22,0.18,6.55,26.23,88.94,93.19,9.72
2001,7,7,1.47,0.52,1.1,4.84,0.15,5.83,25.47,92.06,93.9,8.62
2001,7,8,4.47,1.89,3.02,12.48,0.38,2.54,25.65,89.75,94.94,3.83
2001,7,9,4.93,3.12,2.88,13.53,0.38,1.27,25.85,87.06,95.05,2.01
2001,7,10,5.7,3.21,3.37,15.12,0.42,1.32,25.7,88.44,94.88,2.1
2001,7,11,6.12,3.98,3.06,16.06,0.45,1.5,26.23,87.69,94.65,2.39
2001,7,12,6.0,3.52,3.34,15.42,0.43,1.34,26.55,89.44,94.42,2.19
2001,7,13,3.87,1.26,2.88,10.2,0.3,1.38,24.97,93.56,94.47,2.15
2001,7,14,3.1,1.06,2.29,8.34,0.24,1.8,24.84,89.31,94.72,2.7
