-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 04/01/2024 
Location: Latitude  23.7469   Longitude 109.2217 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 153.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,WS2M,T2M,RH2M,PS,WS10M
2001,1,1,3.38,2.81,1.85,7.05,0.16,1.86,13.19,72.62,99.83,3.02
2001,1,2,0.82,0.4,0.63,2.26,0.05,1.71,16.13,83.0,99.75,2.53
2001,1,3,0.82,0.38,0.63,2.3,0.05,3.24,13.39,81.12,100.07,4.53
2001,1,4,0.98,0.46,0.76,2.62,0.06,2.18,12.2,83.12,100.19,3.07
2001,1,5,2.17,1.14,1.54,5.16,0.12,1.45,15.38,80.38,100.02,2.15
2001,1,6,3.04,2.06,1.89,7.21,0.16,2.43,17.93,83.31,99.75,3.77
2001,1,7,1.68,0.83,1.29,4.41,0.1,2.27,19.51,81.19,99.49,3.45
2001,1,8,2.91,2.15,1.86,6.94,0.16,3.31,20.13,76.94,99.38,4.78
2001,1,9,0.68,0.35,0.53,2.02,0.05,6.02,9.03,64.62,100.25,8.39
2001,1,10,1.1,0.48,0.86,3.2,0.08,3.16,9.15,68.06,100.03,4.35
2001,1,11,2.27,0.96,1.73,5.62,0.13,1.63,11.39,77.12,99.8,2.42
2001,1,12,0.95,0.45,0.73,2.63,0.06,2.16,13.51,82.94,99.94,3.14
2001,1,13,4.34,5.37,1.38,9.31,0.2,3.46,11.02,69.94,100.17,4.91
2001,1,14,2.72,1.26,2.04,6.41,0.15,3.64,12.08,57.88,100.43,5.05
2001,1,15,0.85,0.37,0.67,2.38,0.05,3.36,7.93,72.38,100.85,4.71
2001,1,16,1.13,0.49,0.88,3.24,0.08,1.83,9.34,73.38,100.76,2.57
2001,1,17,1.49,0.63,1.16,3.94,0.09,1.44,13.8,77.88,100.39,2.09
2001,1,18,1.0,0.45,0.77,2.98,0.08,2.23,16.88,84.81,100.04,3.32
2001,1,19,2.4,0.98,1.86,5.91,0.15,2.01,18.9,80.12,100.04,2.98
2001,1,20,1.99,0.93,1.48,5.09,0.13,2.45,16.58,78.19,100.03,3.54
2001,1,21,2.55,1.54,1.64,6.5,0.18,3.23,19.99,78.69,99.49,4.68
2001,1,22,2.97,1.68,2.09,7.27,0.2,3.66,22.01,79.25,99.26,5.12
2001,1,23,2.2,1.21,1.61,5.65,0.15,3.37,22.47,80.56,99.29,4.75
2001,1,24,0.91,0.45,0.71,2.59,0.06,2.9,21.08,86.94,99.16,4.04
2001,1,25,0.74,0.36,0.57,2.21,0.06,5.82,9.71,73.31,99.56,7.97
2001,1,26,2.75,1.34,2.0,6.57,0.16,5.12,7.65,58.62,100.07,7.02
2001,1,27,1.35,0.55,1.06,3.79,0.1,3.52,9.16,62.44,100.23,4.77
2001,1,28,4.34,4.23,1.8,8.98,0.2,4.47,7.95,63.94,100.57,6.17
2001,1,29,4.5,4.89,1.55,9.34,0.21,2.55,9.09,61.5,100.41,3.7
2001,1,30,0.93,0.41,0.73,2.26,0.05,1.05,12.31,65.56,100.02,1.85
2001,1,31,0.6,0.32,0.46,1.76,0.04,1.77,13.82,78.56,99.81,2.58
2001,2,1,0.8,0.37,0.62,2.15,0.05,3.84,11.28,76.88,99.92,5.25
2001,2,2,1.0,0.44,0.78,2.8,0.07,2.35,10.12,70.38,99.89,3.33
2001,2,3,1.17,0.5,0.91,3.46,0.09,2.56,10.62,75.31,99.83,3.59
2001,2,4,3.16,2.32,1.8,7.58,0.21,2.86,10.85,73.44,99.96,4.09
2001,2,5,1.69,0.65,1.34,4.63,0.13,2.39,15.07,83.81,99.54,3.55
2001,2,6,1.35,0.56,1.06,3.94,0.12,2.85,18.84,83.81,99.36,4.02
2001,2,7,1.77,0.68,1.39,4.61,0.13,5.46,11.52,67.19,100.1,7.41
2001,2,8,1.25,0.53,0.97,3.42,0.09,3.05,9.39,75.88,100.26,4.13
2001,2,9,0.52,0.31,0.39,1.48,0.04,3.39,9.97,80.25,100.4,4.66
2001,2,10,1.34,0.58,1.02,3.75,0.1,2.45,10.85,73.0,100.24,3.3
2001,2,11,1.54,0.72,1.16,4.18,0.11,1.26,12.49,83.0,99.99,1.95
2001,2,12,1.25,0.56,0.96,3.53,0.09,3.12,14.03,80.94,100.06,4.3
2001,2,13,1.61,0.84,1.19,4.52,0.12,5.62,9.39,68.06,100.56,7.66
2001,2,14,5.56,6.69,1.39,12.2,0.31,3.03,9.13,65.75,100.68,4.34
2001,2,15,3.15,2.29,1.73,7.27,0.19,2.19,11.54,59.5,100.6,3.31
2001,2,16,4.47,3.97,1.82,9.72,0.25,1.95,13.6,55.75,100.56,2.84
2001,2,17,4.33,3.85,1.98,9.61,0.24,2.11,16.0,70.31,100.12,3.3
2001,2,18,2.42,0.9,1.91,6.01,0.15,2.21,18.07,80.56,99.82,3.23
2001,2,19,1.44,0.6,1.12,3.87,0.1,1.66,19.01,78.56,99.79,2.53
2001,2,20,4.47,3.57,2.09,9.94,0.26,2.2,19.83,73.69,99.63,3.36
2001,2,21,4.04,2.19,2.63,9.07,0.23,1.65,20.42,75.62,99.48,2.5
2001,2,22,2.09,0.79,1.63,5.2,0.13,3.08,21.73,76.94,99.33,4.29
2001,2,23,2.4,0.91,1.88,5.54,0.14,2.9,22.25,77.62,99.2,4.17
2001,2,24,0.95,0.43,0.74,2.26,0.05,5.48,16.41,65.88,99.78,7.43
2001,2,25,0.76,0.38,0.58,2.08,0.05,4.74,9.47,79.94,100.21,6.4
2001,2,26,1.25,0.52,0.97,3.59,0.09,2.5,10.62,81.44,100.12,3.29
2001,2,27,1.49,0.62,1.15,4.2,0.12,3.26,13.69,84.75,100.21,4.35
2001,2,28,3.19,2.05,1.96,8.07,0.21,4.23,13.98,71.56,100.35,5.78
2001,3,1,5.76,5.94,1.75,12.61,0.31,2.12,14.65,63.19,100.29,2.98
2001,3,2,2.67,1.04,2.02,6.63,0.17,2.12,17.15,71.0,99.99,3.23
2001,3,3,1.52,0.57,1.16,3.67,0.09,3.2,17.07,78.19,100.3,4.48
2001,3,4,5.79,6.0,1.78,12.31,0.31,2.77,15.7,59.62,100.28,4.02
2001,3,5,2.35,1.04,1.75,5.84,0.15,3.07,17.93,75.38,99.72,4.38
2001,3,6,2.06,0.73,1.6,5.32,0.15,3.4,21.17,80.5,99.56,4.69
2001,3,7,1.21,0.47,0.94,3.16,0.09,3.7,17.69,79.62,99.91,5.06
2001,3,8,1.5,0.56,1.16,3.84,0.1,4.49,13.37,71.88,100.55,6.14
2001,3,9,0.79,0.36,0.58,2.01,0.05,1.83,12.6,75.19,100.43,2.45
2001,3,10,0.85,0.4,0.61,2.52,0.07,1.53,14.35,85.81,100.16,2.1
2001,3,11,0.6,0.31,0.43,1.89,0.05,3.12,15.19,86.19,100.26,4.2
2001,3,12,3.41,1.22,2.56,8.61,0.23,2.75,17.05,68.25,100.24,3.79
2001,3,13,2.52,0.86,1.91,6.96,0.2,2.59,18.69,72.88,99.92,3.65
2001,3,14,1.21,0.48,0.91,3.66,0.11,3.86,21.71,82.38,99.72,5.23
2001,3,15,1.51,0.56,1.15,4.54,0.13,3.95,23.02,81.44,99.53,5.36
2001,3,16,2.46,1.15,1.79,6.82,0.2,4.59,23.78,78.88,99.11,6.23
2001,3,17,1.77,0.64,1.36,4.94,0.14,3.65,19.76,78.25,99.41,5.01
2001,3,18,2.68,0.95,2.03,6.88,0.2,2.05,18.9,74.06,99.68,2.81
