-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 04/01/2024 
Location: Latitude  22.8218   Longitude 108.3164 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 175.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,WS2M,T2M,RH2M,PS,WS10M
2001,1,1,3.5,2.56,2.09,8.25,0.2,2.48,13.98,75.94,99.53,3.72
2001,1,2,1.0,0.44,0.78,3.74,0.09,2.13,16.81,85.56,99.42,3.2
2001,1,3,0.96,0.42,0.74,3.43,0.09,3.0,13.9,79.12,99.79,4.28
2001,1,4,1.12,0.53,0.87,3.51,0.08,2.26,12.58,81.12,99.9,3.21
2001,1,5,2.56,1.54,1.65,6.2,0.15,2.22,15.05,83.81,99.73,3.28
2001,1,6,3.22,2.58,1.81,7.92,0.19,3.17,18.5,83.81,99.44,4.58
2001,1,7,2.72,1.79,1.84,6.75,0.16,3.04,20.05,80.5,99.19,4.4
2001,1,8,3.16,2.35,2.0,7.5,0.17,3.16,21.0,78.44,99.04,4.59
2001,1,9,0.86,0.37,0.67,2.52,0.06,5.8,11.62,60.44,99.89,8.15
2001,1,10,1.06,0.47,0.82,3.04,0.08,2.85,10.76,60.88,99.72,3.98
2001,1,11,2.52,1.3,1.79,6.11,0.15,1.38,12.01,69.62,99.51,2.19
2001,1,12,0.82,0.36,0.65,2.19,0.05,2.16,14.83,76.25,99.62,3.16
2001,1,13,2.94,2.15,1.79,8.2,0.2,3.37,12.76,62.44,99.88,4.8
2001,1,14,1.84,0.74,1.45,6.18,0.16,4.0,13.28,55.12,100.09,5.61
2001,1,15,0.62,0.33,0.48,2.46,0.06,4.01,8.54,69.75,100.55,5.58
2001,1,16,0.99,0.46,0.77,3.84,0.1,2.05,9.4,73.56,100.47,2.85
2001,1,17,1.22,0.52,0.94,4.7,0.12,1.52,13.2,81.19,100.1,2.27
2001,1,18,1.42,0.59,1.11,5.68,0.16,2.72,17.08,84.06,99.73,3.98
2001,1,19,3.01,1.67,2.16,9.83,0.27,2.45,19.24,80.44,99.74,3.57
2001,1,20,3.27,2.09,2.14,9.72,0.27,1.78,17.37,75.88,99.74,2.68
2001,1,21,3.09,2.15,1.89,9.41,0.26,3.05,19.83,78.62,99.18,4.41
2001,1,22,3.56,2.7,2.1,10.35,0.28,3.38,22.14,79.88,98.94,4.78
2001,1,23,2.66,1.6,1.77,8.27,0.22,3.56,22.59,80.06,98.97,5.05
2001,1,24,1.82,0.9,1.34,6.8,0.19,2.91,21.7,88.06,98.82,4.1
2001,1,25,0.94,0.44,0.73,3.82,0.1,5.51,12.08,66.75,99.19,7.6
2001,1,26,2.17,0.85,1.7,7.36,0.2,5.02,9.32,53.31,99.77,6.93
2001,1,27,0.9,0.4,0.71,3.6,0.09,3.3,10.21,56.88,99.91,4.55
2001,1,28,3.68,2.96,1.87,9.01,0.22,4.44,9.31,54.25,100.27,6.2
2001,1,29,3.52,2.79,1.88,8.74,0.21,2.43,10.75,54.25,100.11,3.54
2001,1,30,1.09,0.46,0.85,3.55,0.09,1.17,13.03,60.12,99.73,1.95
2001,1,31,1.02,0.44,0.8,3.59,0.09,1.73,14.3,76.94,99.52,2.58
2001,2,1,0.86,0.4,0.66,3.3,0.09,3.7,12.91,71.12,99.61,5.12
2001,2,2,1.01,0.45,0.78,3.86,0.1,2.52,10.84,63.69,99.59,3.59
2001,2,3,1.06,0.47,0.82,4.02,0.11,2.25,11.38,71.56,99.53,3.16
2001,2,4,3.08,1.8,2.02,8.5,0.24,2.73,12.14,63.38,99.68,3.93
2001,2,5,2.81,1.08,2.21,8.62,0.24,2.48,15.47,75.62,99.24,3.62
2001,2,6,1.62,0.67,1.27,5.54,0.16,2.85,19.88,81.94,99.03,4.05
2001,2,7,2.26,0.93,1.75,6.81,0.2,5.35,12.99,62.94,99.78,7.34
2001,2,8,1.14,0.5,0.9,4.03,0.11,3.45,9.87,70.31,99.98,4.67
2001,2,9,0.69,0.37,0.54,2.59,0.06,3.45,10.52,77.69,100.11,4.77
2001,2,10,1.42,0.6,1.11,5.06,0.13,2.39,10.81,70.25,99.98,3.36
2001,2,11,1.63,0.67,1.26,5.84,0.16,1.38,12.84,77.5,99.7,2.07
2001,2,12,2.21,0.96,1.67,7.37,0.2,2.52,14.8,80.56,99.75,3.53
2001,2,13,1.94,0.99,1.43,6.87,0.2,5.58,11.11,62.12,100.25,7.66
2001,2,14,5.56,6.25,1.53,13.49,0.36,3.05,10.55,57.5,100.38,4.35
2001,2,15,4.36,3.24,2.28,10.52,0.29,2.13,12.64,56.69,100.29,3.26
2001,2,16,4.81,4.32,1.93,11.2,0.28,2.16,14.03,54.31,100.28,3.33
2001,2,17,3.75,2.34,2.38,10.27,0.27,2.36,16.12,68.69,99.84,3.53
2001,2,18,2.71,1.0,2.12,8.66,0.23,2.89,18.55,78.75,99.51,4.09
2001,2,19,1.68,0.67,1.31,5.62,0.15,2.51,19.4,78.94,99.49,3.59
2001,2,20,4.56,3.59,2.17,11.13,0.3,2.87,20.44,68.06,99.35,4.09
2001,2,21,3.36,1.49,2.41,8.08,0.2,2.2,21.03,70.25,99.19,3.14
2001,2,22,2.58,1.12,1.94,7.3,0.19,3.46,22.05,74.44,99.04,4.77
2001,2,23,2.87,1.23,2.13,7.23,0.19,2.92,22.95,74.56,98.89,4.16
2001,2,24,1.09,0.47,0.85,2.71,0.06,4.94,17.28,70.38,99.43,6.87
2001,2,25,0.81,0.38,0.62,2.64,0.06,4.7,10.28,76.12,99.88,6.4
2001,2,26,1.09,0.46,0.85,3.68,0.09,2.44,12.17,75.94,99.8,3.25
2001,2,27,1.74,0.65,1.35,6.23,0.17,2.48,15.0,82.5,99.87,3.36
2001,2,28,2.44,0.85,1.91,7.83,0.21,3.69,15.01,67.25,100.04,5.09
2001,3,1,5.69,5.3,2.07,13.67,0.35,2.23,15.24,61.56,100.01,3.3
2001,3,2,2.5,1.06,1.89,6.88,0.18,2.4,17.51,68.12,99.68,3.45
2001,3,3,1.03,0.44,0.79,3.11,0.08,3.01,17.16,77.31,100.01,4.31
2001,3,4,5.79,5.83,1.85,13.42,0.34,2.59,16.59,59.88,100.01,3.77
2001,3,5,2.58,0.99,1.96,7.27,0.2,3.14,18.61,74.0,99.4,4.45
2001,3,6,2.02,0.72,1.56,5.98,0.17,3.24,21.08,78.94,99.25,4.52
2001,3,7,2.32,1.01,1.66,6.3,0.17,3.56,18.36,78.44,99.58,4.92
2001,3,8,0.89,0.39,0.67,2.91,0.08,4.55,13.58,74.56,100.24,6.26
2001,3,9,0.71,0.34,0.52,2.2,0.05,2.2,12.23,78.5,100.16,2.97
2001,3,10,0.87,0.39,0.63,3.02,0.09,1.48,14.5,85.38,99.87,2.02
2001,3,11,0.74,0.37,0.52,2.82,0.08,2.78,15.27,84.75,99.98,3.81
2001,3,12,1.98,0.72,1.49,6.59,0.19,2.47,17.07,72.88,99.97,3.43
2001,3,13,1.79,0.65,1.35,6.36,0.18,2.52,18.51,75.44,99.66,3.52
2001,3,14,1.37,0.52,1.04,5.17,0.15,3.23,21.65,80.56,99.42,4.43
2001,3,15,2.07,0.79,1.57,7.27,0.22,3.55,23.06,81.31,99.23,4.85
2001,3,16,4.27,2.87,2.44,12.52,0.37,4.29,24.76,76.19,98.79,5.87
2001,3,17,3.27,1.49,2.3,8.47,0.23,3.0,21.9,74.62,99.06,4.14
2001,3,18,2.8,0.93,2.14,7.58,0.23,2.56,19.94,70.88,99.37,3.46
2001,3,19,1.18,0.44,0.9,3.81,0.11,2.81,22.43,84.88,99.19,3.87
2001,3,20,2.59,1.05,1.91,7.19,0.21,2.6,21.29,76.25,99.25,3.83
2001,3,21,6.33,6.15,1.78,14.74,0.41,2.46,22.22,68.12,98.96,3.46
2001,3,22,4.36,2.69,2.52,10.03,0.27,3.84,24.39,76.75,98.6,5.31
2001,3,23,3.74,1.84,2.47,9.53,0.27,4.28,26.11,75.69,98.47,5.9
2001,3,24,3.77,1.29,2.83,8.74,0.24,2.97,26.3,77.56,98.4,4.12
2001,3,25,3.71,1.93,2.26,10.3,0.3,4.89,21.35,64.62,98.86,6.73
2001,3,26,2.56,1.21,1.79,7.16,0.18,1.77,17.22,75.19,98.88,2.51
2001,3,27,2.58,0.88,1.93,7.66,0.2,1.59,20.5,72.56,98.73,2.36
2001,3,28,3.68,1.33,2.71,9.66,0.25,2.44,21.29,71.06,99.03,3.49
2001,3,29,6.48,5.96,2.04,16.66,0.43,3.29,17.39,60.44,99.42,4.64
2001,3,30,4.22,2.07,2.81,10.73,0.27,3.01,20.98,74.0,99.18,4.3
2001,3,31,1.57,0.53,1.21,4.62,0.12,2.49,23.14,80.12,99.39,3.42
2001,4,1,1.48,0.53,1.14,4.65,0.12,3.25,22.78,81.5,99.29,4.48
2001,4,2,3.02,1.08,2.28,7.84,0.2,3.95,24.02,78.62,98.86,5.45
2001,4,3,3.08,1.1,2.3,9.0,0.24,2.81,26.28,76.12,98.7,3.87
2001,4,4,2.25,0.75,1.73,6.55,0.17,3.54,21.78,77.75,99.11,4.8
2001,4,5,2.52,0.86,1.9,7.17,0.2,2.41,22.73,76.62,99.16,3.27
2001,4,6,1.7,0.57,1.31,4.94,0.13,1.28,25.4,76.94,99.14,1.81
2001,4,7,2.04,0.67,1.57,6.37,0.18,3.27,25.32,79.12,98.85,4.47
2001,4,8,4.38,2.29,2.65,9.81,0.27,2.41,28.09,68.75,98.3,3.39
2001,4,9,4.01,1.73,2.71,8.03,0.21,2.85,28.42,73.38,98.45,3.97
2001,4,10,3.13,1.18,2.25,5.84,0.16,5.88,22.78,57.94,99.35,8.17
2001,4,11,2.88,1.14,2.08,7.02,0.19,5.67,16.01,56.06,100.06,7.86
2001,4,12,4.51,1.97,2.95,9.05,0.25,2.38,16.76,51.31,99.73,3.46
2001,4,13,4.32,1.79,2.94,10.59,0.3,1.75,20.66,55.75,99.39,2.48
2001,4,14,1.59,0.56,1.19,4.62,0.14,1.67,22.07,70.88,99.74,2.4
2001,4,15,1.46,0.52,1.11,4.24,0.12,1.48,23.15,74.88,99.54,2.09
2001,4,16,1.46,0.52,1.11,4.74,0.14,1.98,24.88,77.5,99.12,2.69
2001,4,17,2.39,0.81,1.82,7.34,0.2,2.59,25.69,74.88,98.81,3.55
2001,4,18,2.5,0.89,1.89,7.19,0.2,3.7,27.87,71.56,98.42,5.1
2001,4,19,3.94,2.04,2.41,10.44,0.28,3.96,29.69,66.56,98.16,5.47
2001,4,20,5.63,4.26,2.54,13.6,0.35,3.83,30.6,62.31,97.92,5.34
2001,4,21,5.78,4.13,2.82,14.25,0.37,4.53,25.04,68.88,98.44,6.28
2001,4,22,2.31,0.79,1.74,6.5,0.18,4.43,18.31,68.94,99.16,6.07
2001,4,23,1.98,0.69,1.49,5.92,0.16,2.28,21.12,77.94,99.11,3.1
2001,4,24,2.24,0.79,1.65,6.78,0.19,3.02,21.05,79.38,99.31,4.18
2001,4,25,2.41,0.89,1.82,6.29,0.15,2.88,19.79,77.06,99.39,4.0
2001,4,26,1.85,0.63,1.41,5.34,0.14,2.58,22.86,79.12,99.22,3.59
2001,4,27,1.91,0.7,1.47,5.45,0.14,4.66,26.19,77.12,98.77,6.55
