-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 04/01/2024 
Location: Latitude  23.4805   Longitude 111.2874 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 131.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,WS2M,T2M,RH2M,PS,WS10M
2001,1,1,4.0,4.21,1.69,8.36,0.19,1.59,13.11,72.25,100.14,2.63
2001,1,2,1.11,0.51,0.87,3.0,0.07,1.38,15.9,78.44,100.07,2.25
2001,1,3,1.4,0.57,1.12,3.59,0.09,2.37,15.24,77.5,100.27,3.41
2001,1,4,1.32,0.55,1.06,3.27,0.08,1.45,15.35,73.56,100.39,2.21
2001,1,5,3.0,1.85,1.96,6.55,0.15,1.49,16.68,77.5,100.31,2.45
2001,1,6,2.65,1.71,1.7,6.07,0.14,1.8,18.79,74.44,100.05,2.79
2001,1,7,2.62,1.34,1.94,6.3,0.15,1.2,20.19,75.88,99.8,1.98
2001,1,8,3.33,2.4,2.07,7.66,0.17,1.9,20.76,70.81,99.67,3.05
2001,1,9,0.66,0.37,0.51,1.92,0.05,5.2,10.26,61.31,100.4,7.34
2001,1,10,1.16,0.55,0.92,3.16,0.07,2.01,8.75,76.75,100.22,2.85
2001,1,11,1.96,0.87,1.52,5.12,0.12,1.02,12.83,77.5,100.01,1.66
2001,1,12,0.81,0.42,0.62,2.34,0.06,1.55,13.19,88.5,100.17,2.3
2001,1,13,4.3,4.98,1.49,9.32,0.21,2.52,11.63,67.5,100.34,3.7
2001,1,14,2.47,1.35,1.75,5.84,0.13,3.02,11.38,61.0,100.68,4.35
2001,1,15,0.77,0.37,0.6,2.05,0.05,2.85,9.66,64.69,101.04,4.09
2001,1,16,1.6,0.81,1.19,3.95,0.09,1.53,10.33,70.56,100.99,2.22
2001,1,17,3.38,2.35,2.04,7.8,0.19,1.3,13.7,72.81,100.69,2.14
2001,1,18,2.83,1.71,1.85,6.98,0.18,1.58,16.62,77.5,100.38,2.51
2001,1,19,2.73,1.26,2.03,6.57,0.17,1.52,18.83,77.62,100.34,2.41
2001,1,20,3.5,2.21,2.28,7.85,0.2,1.2,19.16,76.12,100.23,1.92
2001,1,21,3.42,2.39,2.03,8.08,0.21,2.54,20.72,71.75,99.81,3.71
2001,1,22,2.87,1.69,1.98,7.17,0.19,2.59,22.23,78.06,99.58,3.8
2001,1,23,2.6,1.29,1.88,6.48,0.17,2.5,22.82,77.25,99.62,3.67
2001,1,24,1.04,0.46,0.81,3.03,0.08,1.64,20.38,89.88,99.51,2.45
2001,1,25,0.76,0.4,0.59,2.2,0.05,4.57,11.14,74.81,99.65,6.4
2001,1,26,3.01,1.73,2.01,6.96,0.17,4.49,7.05,63.19,100.2,6.35
2001,1,27,0.97,0.45,0.76,2.83,0.07,2.79,9.38,68.88,100.43,3.92
2001,1,28,3.66,3.19,1.78,7.7,0.18,3.81,8.37,66.56,100.69,5.38
2001,1,29,3.58,2.86,1.93,7.8,0.17,1.81,9.93,64.94,100.59,2.71
2001,1,30,0.67,0.35,0.5,1.77,0.05,1.08,12.86,68.75,100.28,1.8
2001,1,31,0.64,0.33,0.49,1.83,0.05,1.18,13.51,87.81,100.06,1.91
2001,2,1,0.66,0.34,0.51,1.86,0.04,3.07,11.51,82.31,100.1,4.34
2001,2,2,0.62,0.32,0.47,1.75,0.04,2.04,9.59,79.81,100.15,2.85
2001,2,3,0.82,0.41,0.63,2.56,0.07,1.45,11.26,87.62,100.05,2.12
2001,2,4,1.63,0.69,1.28,4.59,0.13,1.88,12.39,77.75,100.15,2.74
2001,2,5,1.76,0.67,1.39,4.84,0.14,1.77,15.48,84.44,99.85,2.77
2001,2,6,1.33,0.55,1.04,3.71,0.11,1.73,19.3,84.38,99.66,2.61
2001,2,7,1.16,0.47,0.91,3.25,0.09,4.46,11.51,70.81,100.29,6.18
2001,2,8,2.01,0.74,1.56,5.0,0.14,2.8,10.74,74.44,100.47,3.9
2001,2,9,0.59,0.31,0.45,1.69,0.05,2.88,10.39,80.44,100.6,4.01
2001,2,10,1.75,0.65,1.37,4.76,0.13,1.78,12.0,74.31,100.42,2.48
2001,2,11,3.29,1.78,2.13,7.87,0.2,1.22,14.64,80.12,100.26,1.92
2001,2,12,4.34,3.39,2.12,9.78,0.25,2.39,16.1,76.12,100.25,3.49
2001,2,13,1.13,0.48,0.87,3.48,0.1,4.77,9.08,66.5,100.71,6.62
2001,2,14,5.57,6.59,1.43,12.26,0.32,2.67,9.13,65.62,100.85,3.98
2001,2,15,5.03,5.04,1.9,11.0,0.28,1.82,11.39,61.12,100.81,2.91
2001,2,16,4.82,4.66,1.72,10.54,0.27,1.89,13.41,60.25,100.8,2.98
2001,2,17,5.16,5.09,1.83,11.25,0.28,1.88,16.19,72.56,100.44,2.98
2001,2,18,3.4,1.44,2.49,7.8,0.2,1.38,18.63,76.5,100.12,2.22
2001,2,19,2.42,0.98,1.79,5.76,0.16,0.89,20.37,73.12,100.06,1.44
2001,2,20,4.58,3.67,2.16,9.91,0.25,1.66,20.58,66.56,99.92,2.55
2001,2,21,4.44,3.1,2.42,10.01,0.25,1.21,20.94,70.69,99.77,1.83
2001,2,22,3.66,1.77,2.58,7.93,0.2,1.82,22.48,75.94,99.61,2.85
2001,2,23,3.87,2.34,2.33,8.97,0.23,2.07,23.18,74.19,99.49,3.1
2001,2,24,1.51,0.57,1.16,3.37,0.09,4.91,16.05,67.38,100.02,6.84
2001,2,25,0.6,0.3,0.44,1.57,0.04,4.24,9.54,81.81,100.44,5.86
2001,2,26,0.97,0.41,0.74,2.88,0.08,2.41,10.83,84.56,100.41,3.31
2001,2,27,1.56,0.59,1.2,4.47,0.12,2.12,14.48,85.75,100.43,2.97
2001,2,28,2.27,0.87,1.73,6.12,0.16,3.38,13.92,73.88,100.51,4.7
2001,3,1,5.79,5.98,1.73,12.63,0.31,1.88,14.01,66.0,100.49,2.95
2001,3,2,4.16,3.11,2.04,9.52,0.24,1.78,16.97,70.75,100.3,2.77
2001,3,3,0.93,0.4,0.7,2.48,0.06,2.36,17.22,79.44,100.49,3.43
2001,3,4,6.09,6.75,1.57,13.08,0.34,2.42,15.5,53.06,100.52,3.6
2001,3,5,4.55,3.02,2.6,10.12,0.26,2.39,18.15,65.0,100.03,3.62
2001,3,6,1.99,0.72,1.53,4.76,0.12,2.14,20.86,81.38,99.89,3.19
2001,3,7,1.32,0.5,1.02,3.55,0.1,3.04,18.49,78.38,100.15,4.24
2001,3,8,2.0,0.77,1.53,5.01,0.13,3.84,13.05,72.5,100.78,5.48
2001,3,9,1.41,0.54,1.08,3.61,0.1,1.78,14.02,69.94,100.66,2.51
2001,3,10,0.93,0.41,0.69,2.7,0.08,1.32,15.17,83.69,100.42,1.88
2001,3,11,0.7,0.34,0.51,2.17,0.05,2.19,16.23,84.75,100.45,3.02
2001,3,12,3.76,1.43,2.79,9.22,0.24,2.72,16.88,67.88,100.46,3.87
2001,3,13,4.46,2.36,2.73,10.78,0.28,2.2,18.49,69.88,100.22,3.27
2001,3,14,1.31,0.51,1.02,4.04,0.11,2.57,20.88,82.31,100.08,3.59
2001,3,15,2.32,0.85,1.78,6.52,0.19,2.19,22.61,80.56,99.87,3.1
2001,3,16,1.75,0.64,1.34,5.28,0.16,2.87,23.44,80.44,99.45,4.08
2001,3,17,2.78,0.99,2.12,7.25,0.21,2.66,21.05,76.25,99.65,3.72
2001,3,18,3.33,1.28,2.42,8.52,0.25,1.99,18.78,75.88,99.95,2.72
2001,3,19,1.12,0.47,0.83,3.28,0.09,1.73,21.58,86.12,99.82,2.54
2001,3,20,2.12,0.85,1.61,5.51,0.15,2.2,19.9,84.38,99.74,3.28
2001,3,21,6.17,6.07,1.77,14.16,0.4,1.32,20.54,63.62,99.53,2.05
2001,3,22,2.84,1.07,2.11,6.91,0.2,2.49,23.7,79.06,99.24,3.65
2001,3,23,2.59,0.93,1.95,6.85,0.2,3.1,25.59,78.81,99.14,4.42
2001,3,24,2.88,0.99,2.18,7.05,0.2,2.41,26.17,79.19,99.04,3.45
2001,3,25,2.98,1.12,2.19,7.34,0.21,3.37,19.73,78.12,99.31,4.73
2001,3,26,3.57,1.64,2.35,8.06,0.22,1.57,18.73,72.19,99.34,2.19
2001,3,27,1.25,0.51,0.93,3.72,0.09,1.74,19.75,80.44,99.27,2.55
2001,3,28,4.21,2.48,2.39,10.04,0.26,2.35,19.62,73.12,99.59,3.41
2001,3,29,6.32,6.44,1.56,14.91,0.38,2.79,16.45,65.06,99.92,4.04
2001,3,30,5.75,4.44,2.44,12.93,0.32,1.77,19.29,71.06,99.81,2.74
2001,3,31,1.16,0.47,0.88,3.12,0.08,1.69,20.87,81.31,100.07,2.44
2001,4,1,1.57,0.59,1.18,4.14,0.11,2.73,21.4,82.31,99.96,3.81
2001,4,2,2.49,0.86,1.9,6.72,0.18,2.66,23.24,79.94,99.49,3.84
2001,4,3,3.76,1.54,2.68,9.41,0.26,3.02,23.95,81.69,99.33,4.21
2001,4,4,1.79,0.67,1.37,4.41,0.11,3.22,20.58,83.94,99.63,4.47
2001,4,5,1.91,0.7,1.46,5.33,0.14,1.98,21.33,82.31,99.76,2.75
2001,4,6,1.59,0.61,1.21,4.47,0.12,1.08,22.45,85.31,99.73,1.6
2001,4,7,2.12,0.76,1.62,5.44,0.15,2.16,24.07,84.56,99.47,3.03
2001,4,8,2.86,1.08,2.13,7.02,0.2,2.7,26.61,80.12,98.9,3.86
2001,4,9,2.14,0.78,1.63,4.42,0.12,3.02,26.46,84.12,99.16,4.27
2001,4,10,1.68,0.63,1.29,3.8,0.1,4.31,21.64,76.19,99.77,6.03
2001,4,11,2.25,0.82,1.69,5.27,0.15,5.42,13.58,62.38,100.45,7.52
2001,4,12,5.47,3.31,2.87,11.88,0.33,1.95,15.53,56.81,100.2,2.73
2001,4,13,4.12,1.7,2.82,9.2,0.26,1.42,19.1,63.56,100.0,2.16
2001,4,14,2.24,0.83,1.64,5.42,0.16,1.63,20.8,82.5,100.3,2.42
2001,4,15,1.46,0.55,1.1,3.94,0.11,1.23,21.89,82.06,100.1,1.84
2001,4,16,1.84,0.67,1.4,5.45,0.16,1.75,23.41,83.62,99.7,2.52
2001,4,17,1.51,0.56,1.14,4.5,0.12,1.4,25.09,81.75,99.37,2.01
2001,4,18,2.42,0.85,1.81,6.6,0.19,2.52,26.55,81.31,99.06,3.6
2001,4,19,2.57,0.9,1.96,7.34,0.2,3.78,27.38,80.19,98.89,5.34
2001,4,20,4.39,1.8,3.09,10.66,0.29,2.95,27.94,79.31,98.65,4.34
2001,4,21,2.3,0.78,1.74,5.8,0.16,3.87,23.23,79.06,99.06,5.4
2001,4,22,1.27,0.5,0.96,3.52,0.09,3.12,18.58,79.69,99.64,4.3
2001,4,23,1.31,0.5,1.0,3.79,0.09,2.2,20.98,90.69,99.62,3.14
2001,4,24,1.42,0.53,1.07,4.12,0.1,2.74,20.92,87.44,99.79,3.84
2001,4,25,1.93,0.68,1.44,5.27,0.14,2.51,18.98,83.81,99.92,3.51
2001,4,26,2.94,0.95,2.23,8.05,0.22,2.01,21.51,84.38,99.85,2.84
2001,4,27,3.31,1.13,2.43,8.34,0.23,3.22,24.28,82.88,99.47,4.62
2001,4,28,3.49,1.41,2.51,9.31,0.25,2.96,26.09,83.06,99.19,4.28
2001,4,29,4.39,1.76,3.17,11.4,0.31,2.47,26.77,82.38,99.23,3.71
2001,4,30,4.4,1.82,3.01,9.96,0.26,2.02,26.63,84.69,99.51,2.93
2001,5,1,2.07,0.69,1.55,5.67,0.16,2.43,21.83,82.31,99.69,3.53
2001,5,2,2.97,0.96,2.24,7.77,0.22,1.16,21.98,79.94,99.48,1.81
2001,5,3,2.47,0.82,1.87,7.01,0.2,1.31,23.97,87.94,99.49,1.99
2001,5,4,2.02,0.68,1.51,6.26,0.19,1.79,23.9,91.12,99.59,2.67
2001,5,5,3.78,1.58,2.6,10.6,0.3,2.38,25.84,86.88,99.35,3.57
2001,5,6,4.8,2.95,2.68,12.64,0.35,2.42,26.89,86.0,99.14,3.65
2001,5,7,4.8,2.34,3.13,12.45,0.35,1.81,27.31,87.31,99.0,2.74
2001,5,8,1.87,0.64,1.4,5.73,0.16,2.47,24.93,83.62,98.99,3.55
2001,5,9,1.6,0.56,1.2,4.52,0.12,3.1,22.58,85.75,99.16,4.45
2001,5,10,4.84,2.27,3.07,12.27,0.34,2.54,20.63,79.38,99.59,3.75
2001,5,11,5.6,3.86,2.73,14.23,0.38,1.67,22.99,75.0,99.59,2.59
2001,5,12,6.52,4.54,2.94,16.36,0.45,1.8,24.9,75.25,99.38,2.7
2001,5,13,6.62,5.2,2.63,16.27,0.44,1.16,26.22,70.31,99.21,1.77
2001,5,14,5.68,3.3,3.2,13.87,0.38,0.73,27.05,70.94,99.32,1.25
2001,5,15,3.97,1.74,2.72,9.42,0.25,1.9,25.88,82.31,99.64,2.87
2001,5,16,1.49,0.51,1.11,4.67,0.13,2.53,24.8,84.19,99.68,3.66
2001,5,17,2.08,0.7,1.54,6.56,0.18,2.6,25.04,90.69,99.44,3.81
2001,5,18,3.86,1.49,2.72,10.69,0.3,1.99,25.44,89.0,99.02,2.98
2001,5,19,4.11,1.81,2.82,10.38,0.27,1.41,26.23,78.5,98.98,2.09
2001,5,20,5.1,2.65,3.12,12.7,0.35,1.32,27.66,76.0,98.83,2.05
2001,5,21,1.51,0.52,1.15,4.61,0.12,1.7,26.98,88.69,98.67,2.55
2001,5,22,5.75,3.72,2.89,14.51,0.39,2.52,27.91,79.69,98.71,3.65
2001,5,23,6.02,3.85,3.07,14.7,0.37,1.55,28.1,79.5,98.81,2.37
2001,5,24,5.14,2.63,3.09,13.45,0.37,1.98,27.44,83.5,98.83,2.97
2001,5,25,3.22,1.01,2.39,9.38,0.28,2.07,26.6,88.94,98.96,3.07
2001,5,26,4.76,2.34,2.93,12.81,0.35,2.38,25.66,90.06,99.21,3.62
2001,5,27,4.47,1.55,3.3,11.09,0.29,1.82,24.93,87.75,99.3,2.8
2001,5,28,3.75,1.24,2.77,8.84,0.23,2.1,24.83,82.69,99.16,3.09
2001,5,29,1.93,0.62,1.45,5.62,0.16,1.79,25.41,86.62,98.93,2.62
2001,5,30,4.98,2.48,2.97,13.39,0.38,2.47,25.15,80.31,99.06,3.66
2001,5,31,4.0,1.45,2.88,10.98,0.31,2.09,24.41,77.62,99.33,3.22
2001,6,1,1.42,0.5,1.05,4.52,0.13,2.39,23.3,89.56,99.51,3.53
2001,6,2,2.12,0.69,1.61,6.63,0.19,2.43,24.85,90.81,99.43,3.57
2001,6,3,2.52,0.81,1.91,7.54,0.21,1.94,25.62,92.56,99.34,2.98
2001,6,4,1.79,0.62,1.34,5.46,0.15,1.73,24.96,90.69,99.01,2.66
2001,6,5,6.05,4.39,2.71,15.65,0.44,1.08,25.13,82.56,98.99,1.71
2001,6,6,2.99,0.99,2.2,8.63,0.25,1.66,25.41,90.06,98.98,2.55
2001,6,7,2.57,0.82,1.9,7.56,0.23,2.75,25.57,94.19,98.89,4.09
2001,6,8,2.28,0.73,1.7,6.73,0.2,2.55,25.71,93.56,98.81,3.82
2001,6,9,2.95,0.95,2.22,8.73,0.26,2.16,26.04,93.19,98.86,3.28
2001,6,10,2.46,0.81,1.83,7.02,0.2,1.71,26.1,93.56,98.87,2.69
2001,6,11,3.16,1.14,2.22,8.89,0.27,1.9,25.69,94.38,98.93,2.94
2001,6,12,3.54,1.32,2.49,9.91,0.3,2.31,27.06,89.94,98.87,3.46
2001,6,13,1.13,0.42,0.84,3.64,0.1,1.93,23.79,94.5,98.66,3.0
2001,6,14,6.55,4.86,2.57,16.07,0.42,0.88,25.1,79.69,98.85,1.58
2001,6,15,6.93,4.81,3.0,16.77,0.45,1.19,26.08,80.12,98.87,1.98
2001,6,16,5.33,3.11,3.12,13.96,0.38,1.32,27.04,83.94,98.86,2.09
2001,6,17,6.78,4.94,3.04,16.77,0.47,1.8,27.33,84.19,98.96,2.82
2001,6,18,5.31,3.11,3.01,13.72,0.38,1.84,27.67,85.88,98.79,2.82
2001,6,19,5.3,1.98,3.83,13.94,0.39,1.48,27.83,87.94,98.51,2.36
2001,6,20,5.12,1.84,3.69,13.73,0.41,1.07,28.47,84.88,98.54,1.71
2001,6,21,6.16,3.64,3.37,15.92,0.46,1.31,28.59,85.31,98.71,2.02
