-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 04/01/2024 
Location: Latitude  22.6305   Longitude 110.1452 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 190.75 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,WS2M,T2M,RH2M,PS,WS10M
2001,1,1,4.27,4.76,1.63,9.08,0.21,2.03,13.78,76.06,99.39,3.16
2001,1,2,1.87,0.8,1.45,4.78,0.12,2.08,16.75,83.25,99.31,3.13
2001,1,3,2.09,0.77,1.69,4.79,0.12,1.84,16.64,82.5,99.49,2.77
2001,1,4,2.39,1.12,1.79,5.54,0.13,1.6,15.98,78.38,99.62,2.37
2001,1,5,3.77,4.02,1.55,8.43,0.2,2.12,16.94,78.88,99.55,3.21
2001,1,6,3.14,2.49,1.73,7.77,0.19,2.4,18.01,82.69,99.35,3.59
2001,1,7,2.83,1.68,2.06,7.13,0.17,2.08,19.55,80.94,99.11,3.13
2001,1,8,3.79,3.08,2.2,8.77,0.2,2.88,19.62,79.25,98.99,4.21
2001,1,9,1.17,0.56,0.9,3.24,0.08,5.18,12.01,68.31,99.54,7.32
2001,1,10,1.21,0.52,0.96,3.09,0.07,3.0,9.21,75.94,99.46,4.2
2001,1,11,1.21,0.54,0.94,3.28,0.09,1.55,12.26,81.06,99.29,2.3
2001,1,12,1.21,0.5,0.95,3.34,0.09,1.92,14.91,86.62,99.38,2.85
2001,1,13,3.82,3.85,1.69,8.7,0.2,3.43,12.87,68.12,99.58,4.95
2001,1,14,3.01,1.24,2.33,6.97,0.16,3.77,13.9,59.5,99.82,5.31
2001,1,15,0.68,0.34,0.52,1.86,0.05,3.85,9.32,71.88,100.24,5.4
2001,1,16,1.22,0.59,0.94,3.39,0.09,2.2,10.23,78.62,100.2,3.25
2001,1,17,4.25,4.1,1.8,9.7,0.24,1.87,14.87,77.19,99.91,2.77
2001,1,18,2.93,1.73,2.0,7.44,0.2,2.52,17.08,82.12,99.63,3.66
2001,1,19,3.68,2.84,2.11,9.12,0.24,2.27,18.8,80.62,99.61,3.39
2001,1,20,4.19,4.18,1.88,9.93,0.26,1.02,19.86,79.31,99.5,1.62
2001,1,21,3.0,2.07,1.81,7.59,0.2,3.07,20.23,80.62,99.1,4.45
2001,1,22,2.14,1.39,1.46,5.64,0.15,3.37,21.96,80.44,98.89,4.81
2001,1,23,1.9,0.82,1.47,5.17,0.14,3.63,22.31,82.12,98.92,5.15
2001,1,24,1.27,0.63,0.98,3.78,0.09,3.48,21.83,86.19,98.73,4.92
2001,1,25,0.83,0.45,0.63,2.41,0.06,4.96,13.76,72.56,98.84,6.85
2001,1,26,1.71,0.82,1.32,4.63,0.12,5.27,8.72,60.94,99.41,7.32
2001,1,27,0.77,0.41,0.59,2.27,0.06,3.23,10.72,65.88,99.63,4.45
2001,1,28,3.02,2.2,1.75,7.08,0.18,4.58,9.34,62.12,99.92,6.38
2001,1,29,3.6,3.33,1.63,7.95,0.18,2.55,11.01,60.88,99.85,3.72
2001,1,30,0.75,0.37,0.58,2.05,0.05,0.98,14.26,67.81,99.53,1.6
2001,1,31,0.66,0.34,0.5,1.95,0.05,1.73,15.04,86.19,99.29,2.48
2001,2,1,0.7,0.35,0.54,2.02,0.05,3.84,12.63,82.31,99.33,5.31
2001,2,2,0.74,0.38,0.57,2.21,0.05,2.73,11.22,79.06,99.34,3.73
2001,2,3,0.85,0.4,0.65,2.63,0.08,2.05,12.68,82.69,99.27,2.88
2001,2,4,1.56,0.7,1.22,4.46,0.13,2.56,13.31,75.81,99.4,3.7
2001,2,5,2.25,0.89,1.74,5.66,0.16,2.39,16.73,84.94,99.11,3.55
2001,2,6,1.9,0.73,1.49,4.91,0.14,2.3,19.64,84.44,98.94,3.48
